snr tests fe_cum be_cum in_be_cum fer_e_minus fer_e_plus fer ber in_ber in_ber_ref fer_fit ber_fit
1.000000e-01 21720 209 1.697531e+01 1.655192e+03 1.214324e-03 1.387753e-03 9.622468e-03 7.815520e-04 7.620591e-02 7.627397e-02 1.142317e-02 9.150246e-04
1.500000e-01 26060 205 1.576620e+01 1.955813e+03 1.002432e-03 1.147499e-03 7.866462e-03 6.049963e-04 7.505039e-02 7.509676e-02 7.062329e-03 5.590279e-04
2.000000e-01 48790 203 1.564275e+01 3.607583e+03 5.334362e-04 6.115094e-04 4.160689e-03 3.206138e-04 7.394102e-02 7.392678e-02 4.263213e-03 3.332100e-04
2.500000e-01 84050 215 1.682716e+01 6.116978e+03 3.195003e-04 3.649688e-04 2.558001e-03 2.002042e-04 7.277785e-02 7.276415e-02 2.518962e-03 1.940775e-04
3.000000e-01 150860 207 1.588272e+01 1.079902e+04 1.745252e-04 1.999184e-04 1.372133e-03 1.052812e-04 7.158305e-02 7.160898e-02 1.456319e-03 1.103782e-04
3.500000e-01 256460 208 1.568827e+01 1.806953e+04 1.029507e-04 1.179050e-04 8.110427e-04 6.117239e-05 7.045750e-02 7.046139e-02 8.210894e-04 6.111311e-05
4.000000e-01 437920 210 1.506790e+01 3.035743e+04 6.060817e-05 6.937174e-05 4.795396e-04 3.440789e-05 6.932187e-02 6.932149e-02 4.490893e-04 3.280515e-05
4.500000e-01 862630 210 1.486806e+01 5.882535e+04 3.077111e-05 3.522212e-05 2.434416e-04 1.723573e-05 6.819303e-02 6.818939e-02 2.371385e-04 1.702172e-05
5.000000e-01 1757210 203 1.457716e+01 1.178579e+05 1.483557e-05 1.702117e-05 1.155240e-04 8.295628e-06 6.707105e-02 6.706520e-02 1.207652e-04 8.544324e-06
5.500000e-01 3199440 202 1.433102e+01 2.110159e+05 8.126755e-06 9.327268e-06 6.313605e-05 4.479227e-06 6.595400e-02 6.594903e-02 5.964323e-05 4.176628e-06
6.000000e-01 7522520 207 1.405556e+01 4.877590e+05 3.501923e-06 4.012556e-06 2.751737e-05 1.868464e-06 6.483984e-02 6.484099e-02 2.892149e-05 2.010777e-06
6.500000e-01 10022850 135 9.445216e+00 6.389141e+05 2.088502e-06 2.471762e-06 1.346922e-05 9.423683e-07 6.374575e-02 6.374119e-02 1.395240e-05 9.617703e-07
7.000000e-01 10000010 75 5.027778e+00 6.264782e+05 1.516133e-06 1.900272e-06 7.499993e-06 5.027773e-07 6.264776e-02 6.264974e-02 6.676249e-06 4.514427e-07
7.500000e-01 10000010 28 1.824846e+00 6.157685e+05 8.626769e-07 1.246820e-06 2.799997e-06 1.824844e-07 6.157679e-02 6.156673e-02 3.001918e-06 1.940733e-07
8.000000e-01 11180670 12 7.160494e-01 6.766363e+05 4.592962e-07 8.028757e-07 1.073281e-06 6.404351e-08 6.051840e-02 6.049227e-02 1.074320e-06 6.338216e-08
